No,Name,Normal Price,Discounted Price,Specifications,URL
Connectivity (Interface): USB, LCD display and SD card reader

-----

Electronics (Motherboard): Ramps 1.4 + Mega 2560
-----
Machine weight: 28 kg

-----
Shipping box weight: 30 Kg
Machine Dimensions: 505 x 388 x 450 mm
Shipping box dimensions: 640 x 550 x 650 cm
Shipping Location: USA
Lead Time (Processing/Handling Time): 1 Week",https://www.3dprintersonlinestore.com/3d-printers/bq-witbox-3d-printer

32,Zortrax M200 - Professional Desktop 3D Printer,"$2,290 USD","$1,990 USD","Print size ( X Y Z ): 200 x 200 x 180 mm
Layer Resolution: 90-400 microns
Print Precision (Layer Thickness) : 0.1 mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.4 mm
Filament Compatibility  : Z-Glass, Z-ABS, Z-PCABS, Z-PETG, Z-ULTRAT, Z-HIPS.
-----
Chassis: Sturdy Aluminum
No.of Extruders: One
Print Plate (Build Platform): 0.4 mm
-----
3D Printing Software: Z-SUITE
Supported File Formats: .stl .obj .dxf
Operating System: Mac OS X / Windows XP and newer versions
-----
AC Input: 24 V DC @ 11 A
Connectivity (Interface): USB, SD Card
-----
Shipping box weight: 25 Kg
Machine Dimensions: 345 x 430 x 430 mm
Shipping box dimensions: 460 x 470 x 570 mm
Shipping Location: USA
Lead Time (Processing/Handling Time): 3 days",https://www.3dprintersonlinestore.com/3d-printers/zortrax-m200-professional-desktop-3d-printer

33,"FELIX 3L - Think Bigger, Build Bigger - Assembled Version","$1,986 USD",,"Print size ( X Y Z ): 255 x 205 x 400 mm
Layer Resolution: 50 Microns
Print Precision (Layer Thickness) : 0.05 mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.35 mm
Filament Compatibility  : PLA, PET(G), Wood, Arnitel, T-glase, NinjaFLex, HIPS, ABS
-----
Print Plate (Build Platform): HeatBed
-----
3D Printing Software: Felix Software
Supported File Formats: .STL
Operating System: MAC/Windows/linux
-----
Connectivity (Interface): USB, SD Card
-----
Shipping Location: Netherlands
Lead Time (Processing/Handling Time): 3 Weeks",https://www.3dprintersonlinestore.com/3d-printers/felix-xl-large-3d-printer

34,UP Box - Flagship Model 3D Printer,"$1,899 USD",,"Manufacturer Warranty: 1 Year
-----
Print size ( X Y Z ): 255 x 205 x 205 mm
Layer Resolution: 100 microns 
Print Precision (Layer Thickness) : 0.1 to 0.4 mm 
Filament Compatibility  : ABS & PLA
-----
Chassis: Metal?enclosed
No.of Extruders: One
Print Plate (Build Platform): Heated, ABS Surface
Print Head/Hotend/Nozzle Type: Single, modular, for easy installation
-----
3D Printing Software: UP Software â€¢ 3D files for printable spare parts
Supported File Formats: STL?UP3?UPP
Operating System: Windows/MAC
-----
Power Requirements: 110-240VAC?50-60 Hz?220W
Connectivity (Interface): USB
-----
Machine weight: 20 Kg
Shipping box weight: 27 Kg
Shipping Location: USA
Lead Time (Processing/Handling Time): 5 days",https://www.3dprintersonlinestore.com/3d-printers/up-box-flagship-model-3d-printer

35,Fabtotum Core Pro 3D Printer - Personal Fabricator,"$1,949 USD",,"Item Condition: New
Manufacturer Warranty: One Year
-----
Print size ( X Y Z ): 214 x 234 x 241 mm (12.000 cm 3 )
Layer Resolution: 25 â€“ 800 micron
Filament Diameter: 1.75mm
Nozzle Diameter: 0.2/0.4/0.6/0.8 mm available.
Filament Compatibility  : PLA, ABS, nylon, TPU, special
-----
Chassis: Aluminum alloy Frame
Print Plate (Build Platform): Hi-quality Glass Heated Bed (Double-faced platform)
-----
3D Printing Software:  FABUI, open source web panel no 3D printing software needed
Operating System: PC, Mac and Linux.
-----
Extruder Temperature: 250Â°C
-----
Connectivity (Interface): SD Card,Usb Host, WiFi, Ethernet
-----
Machine weight: 12.5 kg
Machine Dimensions: 366 x 366 x 366 mm",https://www.3dprintersonlinestore.com/3d-printers/fabtotum-core-pro

36,Tinkerine Ditto Pro 3D Printer,"$1,899 USD",,"Manufacturer Warranty: 6 Months 
-----
Print size ( X Y Z ): 220 x 165 x 220 mm
Print Speed: 120 mm/sec
Layer Resolution: 50 to 300 microns 
Print Precision (Layer Thickness) : 0.05 mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.35 mm
Filament Compatibility  : PLA
-----
Chassis: Aluminum composite
Print Plate (Build Platform): Glass (adhesive material required)
-----
3D Printing Software: Tinkerine Suite
Supported File Formats: STL, OBJ
Operating System: Windows, Mac
-----
Power Requirements: DC 12V, 15A
Connectivity (Interface): USB, SD Card
-----
Machine weight: 10 Kg
Shipping box weight: 14 Kg
Machine Dimensions: 370 x 390 x 436 mm
Shipping Location: USA
Lead Time (Processing/Handling Time): 2 Business days",https://www.3dprintersonlinestore.com/3d-printers/ditto-pro-3d-printer

37,Mankati Fullscale XT Plus 3D Printer,"$1,899 USD",,"Manufacturer Warranty: 1 Year
-----
Print size ( X Y Z ): 260 x 260 x 300 mm
Print Speed: 40 to 180 mm/sec
Layer Resolution: 20 microns
Print Precision (Layer Thickness) : 0.02 to 0.4 mm
Filament Diameter: 3.00 mm
Nozzle Diameter: 0.4 mm
Filament Compatibility  : ABS, PLA, Nylon, PVA and PS
-----
Chassis: Metal
Extruder Type: High Temperature All Metal Extruder
No.of Extruders: Two
Print Plate (Build Platform): Silicon heating plate
Print Head/Hotend/Nozzle Type: Mankati own design
-----
3D Printing Software: Mankati UM 6.5.3
Supported File Formats: STL,G-code
Operating System: Windows/MAC/Linux
-----
Power Requirements: 100~230 V, 1.5 A
Connectivity (Interface): USB, SD Card
-----
Electronics (Motherboard): Mankati Stable Main Board V1.0
-----
Machine weight: 25 kg
Shipping box weight: 46 Kg
Machine Dimensions: 384 x 434 x 535 mm
Shipping box dimensions: 580 x 530 x 680 mm
Shipping Location: UK, China
Lead Time (Processing/Handling Time): 3 Business days",https://www.3dprintersonlinestore.com/3d-printers/mankati-full-scale-3d-printer

38,BlueFrog Mirror - Fully Assembled Delta 3D Printer,"$1,899 USD",,"Manufacturer Warranty: 1 year limited warranty
-----
Print size ( X Y Z ): ?180mm x 255 mm
Print Speed: 30 to 250 mm/sec

-----
Layer Resolution: 50 microns
Print Precision (Layer Thickness) : 0.05 - 0.35 mm
Filament Diameter: 1.75mm
Nozzle Diameter: 0.4 mm 

-----
Filament Compatibility  : ABS & PLA
Print Plate Size: ?230 mm
Print in dual color: No
Print in multi color: No
-----
Chassis: Steel
No.of Extruders: One
Print Plate (Build Platform): Heating Cycle System
-----
3D Printing Software: BlueFrog customized software for Multilanguage
Supported File Formats: STL, OBJ, STP
Operating System: Windows, Linux,  Mac
-----
AC Input: 100~240V, 50/60Hz
Power Requirements: 120 W
Connectivity (Interface): USB, LCD display and SD card reader

-----

Electronics (Motherboard): Ramps 1.4
-----
Machine weight: 17.4 Kg
Shipping box weight: 23 kg

-----
Machine Dimensions: 420 * 370 * 678 mm
Shipping box dimensions: 540 * 455 * 780mm
Shipping Location: China
Lead Time (Processing/Handling Time): 1 week",https://www.3dprintersonlinestore.com/3d-printers/mirror-delta-3d-printer

39,DeeGreen - The ideal office and home 3D printer,"$1,829 USD",,"Print size ( X Y Z ): 150 x 150 x 150 mm
Print Speed: 90 mm/sec
Layer Resolution: 50 microns
Print Precision (Layer Thickness) : 0.05 to 2.0 mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.4 mm
Filament Compatibility  : PLA
-----
Print Plate (Build Platform): Glass build plate
-----
3D Printing Software: DeeControl
Supported File Formats: .STL
Operating System: Windows and Mac
-----
Power Requirements: 230 V / 120 W (external)
Connectivity (Interface): USB, SD Card
-----
Machine weight: 22 Kg
Shipping box weight: 25 Kg
Machine Dimensions: 495 x 395 x 390 mm
Shipping Location: USA
Lead Time (Processing/Handling Time): 2 Business days",https://www.3dprintersonlinestore.com/3d-printers/deegreen-3d-printer

40,Afinia H800 Large 3D Printer,"$1,899 USD",,"Manufacturer Warranty: 1 Year
-----
Print size ( X Y Z ): 255 x 205 x 205 mm
Layer Resolution: 100 microns
Print Precision (Layer Thickness) : 0.1 - 0.4mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.4 mm
Filament Compatibility  : ABS & PLA
-----
Print Plate (Build Platform): HeatBed
-----
3D Printing Software: Afinia Software
Supported File Formats: STL
Operating System: Windows and MAC
-----
Connectivity (Interface): USB
-----
Machine weight: 20 Kg
Shipping box weight: 27 Kg
Machine Dimensions: 485 x 520 x 495mm
Shipping Location: USA
Lead Time (Processing/Handling Time): 2 Business days",https://www.3dprintersonlinestore.com/3d-printers/afinia-h800-large-3d-printer

41,Blacksmith Genesis: 3D Printer & Scanner,"$1,850 USD",,"Print size ( X Y Z ): 230 x 140 x 140 mm
Print Speed: 50 to 150 mm/sec
Layer Resolution: 100 to 300 microns
Print Precision (Layer Thickness) : 0.1 mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.4 mm

-----
Filament Compatibility  : PLA
Print in dual color: No
Print in multi color: No
-----
No.of Extruders: One
-----
3D Printing Software: Blacksmith Sorcerer 
Supported File Formats: .STL .OBJ
Operating System: Windows/MAC/Linux

-----

AC Input: 100 to 240V
Power Requirements: 100 W
Connectivity (Interface): USB, SD Card, Wi-Fi (Future Development)
-----
Machine weight: 11 kg
Shipping box weight: 15 Kg
Machine Dimensions: 350 x 250 x 410 mm
Shipping box dimensions: 400 x 300 x 440 mm
Shipping Location: Singapore
Lead Time (Processing/Handling Time): Pre-Order",https://www.3dprintersonlinestore.com/3d-printers/blacksmith-genesis-3d-printer-scanner

42,3Dison S Desktop 3D Printer,"$1,850 USD",,"Item Condition: New 
-----
Print size ( X Y Z ): 215*130*145mm
Print Speed: 200 mm/sec
Layer Resolution: 25 microns
Nozzle Diameter: 0.4 mm
Filament Compatibility  : PLA, Nylon, Flexible, HIPS, PVA, Wood, Stone
-----
No.of Extruders: One
-----
3D Printing Software: Creator K
Supported File Formats: STL, Gcode, OBJ
Operating System: Windows/Mac/
-----
Power Requirements: 24v, 50A
-----
Shipping Location: korea",https://www.3dprintersonlinestore.com/3d-printers/3dison-desktop-3d-printer

43,Cel Robox RBX01 - High Definition 3D Printer,"$1,499 USD",,"Manufacturer Warranty: 2 Years
-----
Print size ( X Y Z ): 210 x 150 x 100 mm
Layer Resolution: 20 microns
Print Precision (Layer Thickness) : 0.02 mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.3mm and 0.8mm
Filament Compatibility  : ABS, PLA, HIPS, PETG, CO-PET and Nylon
-----
Print Plate (Build Platform): Heated Build Plate
-----
3D Printing Software: Automaker
Supported File Formats: .stl and .obj.
Operating System: Windows, MAC and Linux
-----
Power Requirements: 230 V / 120 W
Connectivity (Interface): USB
-----
Machine weight: 8.4 Kg
Shipping box weight: 12 Kg
Machine Dimensions: 370 x 340 x 240 mm
Shipping Location: USA
Lead Time (Processing/Handling Time): 2 Business days",https://www.3dprintersonlinestore.com/3d-printers/cel-robox-professional-3d-printer

44,Ultimaker Original Diy Kit - Make It Yours,"$1,475 USD",,"Manufacturer Warranty: 12 Months (Excluding the hotend) 
-----
Print size ( X Y Z ): 223 x 223 x 205 mm
Print Speed: 30 to 300 mm/sec
Layer Resolution: 20 microns
Print Precision (Layer Thickness) : 0.04 mm to 0.2 mm 
Filament Diameter: 2.85 mm
Nozzle Diameter: 0.4 mm
Filament Compatibility  : PLA, ABS and CPE
-----
3D Printing Software: Cura
Supported File Formats: STL / OBJ / DAE / AMF
Operating System: Windows / Mac / Linux
-----
Power Requirements: 50 to 60 HZ, 221 Watt Max
Connectivity (Interface): Stand-alone SD card printing
-----
Machine weight: 11.2 Kg
Shipping box weight: 18 Kg
Machine Dimensions: 357 x 342 x 388 mm
Shipping box dimensions: 400 x 400 x 550 mm
Shipping Location: USA
Lead Time (Processing/Handling Time): 2 Business days",https://www.3dprintersonlinestore.com/3d-printers/ultimaker-original-diy-kit

45,Ultimaker 2 Go - Mini 3D Printer,"$1,450 USD",,"Manufacturer Warranty: 12 Months (Excluding the hotend) 
-----
Print size ( X Y Z ): 120 x 120 x 115 mm
Print Speed: 30 to 300 mm/sec
Layer Resolution: 20 microns
Print Precision (Layer Thickness) : 0.04 mm to 0.2 mm 
Filament Diameter: 2.85 mm
Nozzle Diameter: 0.4 mm
Filament Compatibility  : PLA
-----
Print Plate (Build Platform): Glass plate with blue tape
-----
3D Printing Software: Cura
Supported File Formats: STL / OBJ / DAE / AMF
Operating System: Windows / Mac / Linux
-----
Power Requirements: 50 to 60 HZ, 221 Watt Max
Connectivity (Interface): Stand-alone SD card printing
-----
Machine weight: 6.2 Kg
Shipping box weight: 14 Kg
Machine Dimensions: 258 x 250 x 287.5 mm
Shipping box dimensions: 400 x 310 x 550 mm
Shipping Location: USA
Lead Time (Processing/Handling Time): 2 Business days",https://www.3dprintersonlinestore.com/3d-printers/ultimaker-2-go-mini-3d-printer

46,i3 Berlin Printer-Free Shipping Worldwide,"$1,430 USD",,"Dimensions:  400x440x380mm
Firmware: Arduino/Marlin
Layer Height: 0.02mm â€“ 0.3mm (Default 0.4 nozzle)
License: GPL
Source Files: bit.ly/i3_berlin

https://github.com/open3dengineering/i3_Berlin/wiki
Technology: Fused Deposition Modeling(FDM)
-----
Filament Diameter: 1.75 mm Default
Nozzle Diameter:  Default	0.4mm ( 0,25mm/0,6mm/1mm available )
Filament Compatibility  : All Printable materials Thermoplastics (PLA, ABS, Nylon, PC, PP, PET, Wood Filaments, ...)
Print Plate Size: 200X200X200mm
-----
Print Head/Hotend/Nozzle Type: E3D V6 Full Metal Hot end
-----
3D Printing Software:  Cura/Kisslicer (opensource) Simplify3D (proprietary)
-----
Power Requirements: 110/220V 350W",https://www.3dprintersonlinestore.com/3d-printers/i3-berlin

47,Creatbot DX Series - Triple Head Nozzle Fastest High Precision 3D Printer,"$2,100 USD","$1,753 USD","Item Condition: New
Manufacturer Warranty: 6 Months
-----
Print size ( X Y Z ): DX:  300*250*300 mm

DX Plus : 300*250*520 mm
Print Speed: 30 to 200 mm/sec
Layer Resolution: 30 to 100 microns
Print Precision (Layer Thickness) : 0.04-0.3mm
Filament Diameter: 3.00 mm (1.75 mm optional)
Nozzle Diameter: 0.4 mm (Standard) 0.3, 0.5, 0.8, 1.0 mm (Optional)
Filament Compatibility  : PLA, ABS, Carbon Fiber, Wood, Nylon, PC, PTEG, HIPS, PP, Flexible, TPU, PVA, etc.
Print Plate Size: 310 x 290 mm
Print in dual color: Yes
Print in multi color: Yes
-----
Chassis: Power-Coated Steel, Aluminum Casting for Motion Components, POM
Extruder Type: Gear motor

-----
No.of Extruders: Single/Dual/Triple
Print Plate (Build Platform): Microcrystalline Ceramic Panel
-----
3D Printing Software: CreatWare
Supported File Formats: STL, OBJ, AMF
Operating System: Windows, Linux,Mac OS
-----
Extruder Temperature: 400 degree C
-----
AC Input: 110V or 220V
Power Requirements: 50 Hz
Connectivity (Interface): USB, SD card Supported 
-----
Electronics (Motherboard): ATmega 2560
-----
Machine weight: DX: 30 kg

DX Plus : 35 kg
Shipping box weight: DX: 45 kg

DX Plus : 52 kg
Machine Dimensions: DX:  420*370*680mm

DX Plus : 420*370*790mm
Shipping box dimensions: DX: 550 x 510 x 650  mm

DX Plus: 550 x 510 x 910  mm
Shipping Location: China
Lead Time (Processing/Handling Time): 1 week",https://www.3dprintersonlinestore.com/3d-printers/fastest-high-precision-3d-printer

48,Printrbot Plus - Dual Extruder Assembled 3d printer,"$1,499 USD",,"Manufacturer Warranty: 30 days
-----
Print size ( X Y Z ): 250 x 250 x 265 mm

-----
Print Speed: 30 to 80 mm/sec

-----
Layer Resolution: 50 microns
Print Precision (Layer Thickness) : 0.05 mm - 0.4 mm

-----
Filament Diameter: 1.75mm
Nozzle Diameter: 0.4 mm 

-----
Filament Compatibility  : PLA, Flexible PLA and ABS
-----
Chassis: Powder coated steel and aluminum body

-----
Extruder Type: Alu Extruder v2 (direct drive)
No.of Extruders: Two
Print Plate (Build Platform): Heated (0.3 mm level tolerance)
Print Head/Hotend/Nozzle Type: Ubis Hot End
-----
3D Printing Software: Cura v15.04
Supported File Formats: STL, G-code
Operating System: Windows, Linux,  Mac
-----
Power Requirements: 12V 350W ATX power supply
Connectivity (Interface): USB

-----

Electronics (Motherboard): Printrbot Rev F Printrboard
-----
Shipping box weight: 18 kg
Shipping box dimensions: 533 x 508 x 558 mm
Shipping Location: USA
Lead Time (Processing/Handling Time): 1 Business day",https://www.3dprintersonlinestore.com/3d-printers/printrbot-plus-dual-extruder

49,Felix Tec 4 - Assembled,"$1,724 USD",,"Manufacturer Warranty: 1 year
-----
Operational Environment (recommended): Max 40 degrees
-----
Print size ( X Y Z ): 255 x 205 x 225 mm
Print Speed: 150 mm/sec
Layer Resolution: 50 to 250 microns
Print Precision (Layer Thickness) : Minimum 0.05 mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.35 mm
Filament Compatibility  : PLA, PET (G), Wood, Arnitel, T-glase, NinjaFlex, HIPS, ABS, Laybrick, PVA and Nylon
Print Plate Size: 300 x 300mm
Print in dual color: Yes
Print in multi color: No
-----
Chassis: Extruded aluminum frame parts
Extruder Type: Direct drive

-----
No.of Extruders: Two
Print Plate (Build Platform): Aluminum Heated Bed
Print Head/Hotend/Nozzle Type: Designed by FELIX

-----

3D Printing Software: Repetier Host Software/firmware
Supported File Formats: stl
Operating System: Windows/MAC/Linux
-----
AC Input: 110-240V, automatically adjusting powersupply
Power Requirements: 250 W
Connectivity (Interface): USB, MicroSD card reader
-----
Electronics (Motherboard): FELIXprinters electronics
-----
Machine weight: 9 Kg
Shipping box weight: 9 kg
Machine Dimensions: 400 x 400 x 520 mm
Shipping box dimensions: 500 x 300 x 300 mm
Shipping Location: Netherlands
Lead Time (Processing/Handling Time): 7 to 10 Business days",https://www.3dprintersonlinestore.com/3d-printers/felix-tec4-assembled

50,Felix 3.1 Fully Assembled - High Speed 3D Printer,"$1,900 USD","$1,699 USD","Manufacturer Warranty: 1 year
-----
Operational Environment (recommended): Max 40 degrees C
-----
Print size ( X Y Z ): 255 x 205 x 225 mm
Print Speed: 150 mm/sec
Layer Resolution: 50 to 250 microns
Print Precision (Layer Thickness) : Minimum 0.05 mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.35 mm
Filament Compatibility  : PLA, PET (G), Wood, Arnitel, T-glase, NinjaFlex, HIPS, ABS, Laybrick, PVA and Nylon
Print Plate Size: 300 x 300mm
Print in dual color: Yes
Print in multi color: No
-----
Chassis: Extruded aluminum frame parts
Extruder Type: Direct drive

-----
No.of Extruders: Two
Print Plate (Build Platform): Aluminum Heated Bed
Print Head/Hotend/Nozzle Type: Designed by FELIX

-----

3D Printing Software: FELIXbuilder
Supported File Formats: stl
Operating System: Windows/MAC/Linux
-----
AC Input: 110-240V, automatically adjusting powersupply
Power Requirements: 250 W
Connectivity (Interface): USB, MicroSD card reader
-----
Electronics (Motherboard): FELIXprinters electronics
-----
Machine weight: 9 Kg
Shipping box weight: 13 Kg
Machine Dimensions: 400 x 400 x 520 mm
Shipping box dimensions: 500 x 500 x 500
Shipping Location: Netherlands
Lead Time (Processing/Handling Time): 1 to 2 Business days",https://www.3dprintersonlinestore.com/3d-printers/felix-3d-printer

51,Creatbot F160 Desktop 3D Printer,"$1,200 USD",,"Item Condition: New
-----
Print size ( X Y Z ): 160*160*200mm (F160)
Print Speed: 30 to 200 mm/sec
Layer Resolution: 0.01mm
Print Precision (Layer Thickness) : 0.04mm
Filament Diameter: 1.75mm
Nozzle Diameter: 0.4mm (0.3, 0.5, 0.6, 0.8, 1.0mm)



-----
Filament Compatibility  : PLA, ABS, Carbon Fiber, Wood, Nylon, PC, PTEG, HIPS, PP, Flexible, TPU, PVA, PEEK, etc.



-----

Chassis: Power-Coated Steel, Aluminum Casting for Motion Components, POM
No.of Extruders: One
Print Plate (Build Platform): Heatable Aluminium PCB with BuildTak



-----

3D Printing Software: CreatWare Multi-language



-----
Supported File Formats: STL, OBJ, AMF
Operating System: Windows, Linux,Mac OS
-----
Extruder Temperature: 400Â°C
-----
AC Input: 100-240V, 50-60Hz
Power Requirements: 300W
Connectivity (Interface): USB, SD card Supported 
-----
Electronics (Motherboard): ATmega 2560
-----
Machine weight: 20 kg
Shipping box weight: 25 kg
Machine Dimensions: 370*320*490mm
Shipping box dimensions: 470*420*600mm
Shipping Location: China
Lead Time (Processing/Handling Time): 1 week",https://www.3dprintersonlinestore.com/3d-printers/creatbot-f160-3d-printer

52,Createbot Max FDM 3D Printer V 2.0,"$1,669 USD","$1,400 USD","Manufacturer Warranty: 6 Months
-----
Print size ( X Y Z ): 280 x 250 x 400 mm
Print Speed: 80 to 250 mm/sec
Layer Resolution: 20 microns
Print Precision (Layer Thickness) : 0.05 to 0.2 mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.4 mm
Filament Compatibility  : PLA, ABS,PETG, Wood, PVA and Flexible Filaments. 
Print Plate Size: 280x250mm
-----
Chassis: Full Metal
Extruder Type: Direct Drive
No.of Extruders: Two
Print Plate (Build Platform): Heated Bed
-----
3D Printing Software: Createbot software
Supported File Formats: STL, OBJ, DAE, BMP
Operating System: Windows/MAC/Linux
-----
Power Requirements: 220 V, 200 W
Connectivity (Interface): USB and SD card reader

-----

Electronics (Motherboard): Ultimaker Motherboard
-----
Machine weight: 37.5 Kg
Shipping box weight: 41 Kg
Machine Dimensions: 460 x 405 x 685 mm
Shipping box dimensions: 530 x 480 x 750 mm
Shipping Location: China.
Lead Time (Processing/Handling Time): 2 to 3 Business days",https://www.3dprintersonlinestore.com/3d-printers/createbot-max-fdm-3d-printer

53,Printrbot Plus - Assembled 3d printer,"$1,199 USD",,"Manufacturer Warranty: 30 days
-----
Print size ( X Y Z ): 250 x 250 x 265 mm

-----
Print Speed: 30 to 80 mm/sec

-----
Layer Resolution: 50 microns
Print Precision (Layer Thickness) : 0.05 mm - 0.4 mm

-----
Filament Diameter: 1.75mm
Nozzle Diameter: 0.4 mm 

-----
Filament Compatibility  : PLA, Flexible PLA and ABS
-----
Chassis: Powder coated steel and aluminum body

-----
Extruder Type: Alu Extruder v2 (direct drive)
No.of Extruders: One 
Print Plate (Build Platform): Heated (0.3 mm level tolerance)
Print Head/Hotend/Nozzle Type: Ubis Hot End
-----
3D Printing Software: Cura v15.04
Supported File Formats: STL, G-code
Operating System: Windows, Linux,  Mac
-----
Power Requirements: 12V 350W ATX power supply
Connectivity (Interface): USB

-----

Electronics (Motherboard): Printrbot Rev F Printrboard
-----
Shipping box weight: 18 kg
Shipping box dimensions: 533 x 508 x 558 mm
Shipping Location: USA
Lead Time (Processing/Handling Time): 1 Business day",https://www.3dprintersonlinestore.com/3d-printers/printrbot-plus-3d-printer

54,Mmuse - Pancake Food 3D Printer,"$1,300 USD","$1,199 USD","Manufacturer Warranty: 3 Months
-----
Supported File Formats: STL, Gcode
-----
Machine weight: 13 Kg
Shipping box weight: 15 Kg
Machine Dimensions: 540*510*500mm
Shipping box dimensions: 400 x 800 x 500 mm
Shipping Location: China
Lead Time (Processing/Handling Time): 5 Buisness days",https://www.3dprintersonlinestore.com/3d-printers/mmuse-pancake-food-3d-printer

55,Makerbot Replicator Mini Desktop 3D Printer,"$1,375 USD",,"Manufacturer Warranty: 6 Months
-----
Print size ( X Y Z ): 100 x 100 x 125 mm
Layer Resolution: 200 microns
Print Precision (Layer Thickness) : 0.2 mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.4 mm
Filament Compatibility  : PLA
-----
Chassis: PC ABS with powder-coated steel reinforcement
No.of Extruders: One
Print Plate (Build Platform): Injection Molded Acrylic
-----
3D Printing Software: Makerbot desktop software
Supported File Formats: .makerbot
Operating System: Windows/MAC/Linux
-----
Power Requirements: 100â€“240VAC; 0.75-0.41A;

50â€“60 HZ; 100W

-----
Connectivity (Interface): USB, Wi-fi
-----
Machine weight: 8 Kg
Shipping box weight: 10 Kg
Machine Dimensions: 295 x 310 x 381 mm
Shipping box dimensions: 387 x 397 x 527 mm
Shipping Location: USA
Lead Time (Processing/Handling Time): 3 Business days",https://www.3dprintersonlinestore.com/3d-printers/makerbot-replicator-mini

56,Weistek ideawerk Super Fast 3D Printer,"$1,299 USD",,"Manufacturer Warranty: 1 Year
-----
Print size ( X Y Z ): 150 x 150 x 140 mm
Print Speed: 450 mm/sec
Layer Resolution: 180 microns
Print Precision (Layer Thickness) : 0.18 mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.4 mm

-----
Filament Compatibility  : PLA/HS/ABS/PV/PC/HIPS/PVA/Wood/Flexible
-----
No.of Extruders: One
-----
3D Printing Software: Weistek Real Vision 
Supported File Formats: STL
Operating System: Windows

-----

Power Requirements: 110/220V
Connectivity (Interface): Printing by computer: USB cable

Offline printing: SD Card

-----

Machine weight: 7.5kg
Shipping box weight: 15.4 Kg
Shipping Location: China
Lead Time (Processing/Handling Time): 4-5 Business days",https://www.3dprintersonlinestore.com/3d-printers/weistek-ideawerk-high-speed-3d-printer

57,Afinia H480 Mini 3D Printer,"$1,299 USD",,"Manufacturer Warranty: 1 Year
-----
Print size ( X Y Z ): 140 x 140 x 135 mm
Layer Resolution: 150 microns
Print Precision (Layer Thickness) : 0.15 - 0.40mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.4 mm
Filament Compatibility  : ABS & PLA
-----
Print Plate (Build Platform): HeatBed
-----
3D Printing Software: Afinia Software
Supported File Formats: STL
Operating System: Windows and MAC
-----
Connectivity (Interface): USB
-----
Machine weight: 6 Kg
Shipping box weight: 10 Kg
Machine Dimensions: 245 x 260 x 350 mm
Shipping Location: USA
Lead Time (Processing/Handling Time): 2 Business days",https://www.3dprintersonlinestore.com/3d-printers/afinia-h480-mini-3d-printer

58,Vector PLA 3D Printer,"$1,250 USD",,"Manufacturer Warranty: One year - Limited Warranty
-----
Print size ( X Y Z ): 190 x 190 x 210 mm
Print Speed: 150 mm/sec
Layer Resolution: 50 to 200 microns
Print Precision (Layer Thickness) : 0.02mm to 0.2mm
Filament Diameter: 2.85mm
Nozzle Diameter: 0.4mm (J-Head Mk V-BV)
Filament Compatibility  : PLA
Print Plate Size: 250 x 277 mm
Print in dual color: upgradable to J-paste extruder 
Print in multi color: upgradable to J-paste extruder 
-----
Chassis: Aluminium 
No.of Extruders: One
Print Plate (Build Platform): Glass with 3M Masking Tape (Upgradable to heated bed)
-----
3D Printing Software: Printware 
Supported File Formats: STL,OBJ
Operating System: Windows/MAC/Linux
-----
AC Input: 100-240 Volts , 50-60 Hz
Power Requirements: 19 volts , 6.23 Amp
Connectivity (Interface): USB, SD card Supported 
-----
Electronics (Motherboard): Arduino 2560 
-----
Machine weight: 22 kg
Shipping box weight: 25 kg
Machine Dimensions: 460 mm x 430 mm x 430mm
Shipping box dimensions: 650 mm x 530 mm x 520 mm
Shipping Location: India
Lead Time (Processing/Handling Time): 1 week",https://www.3dprintersonlinestore.com/3d-printers/vector-3d-pla-printer

59,Sharebot KIWI-3D Desktop 3D Printer,"$1,168 USD",,"Print size ( X Y Z ): 140 x 100 x 100 mm
Layer Resolution: 100 microns
Print Precision (Layer Thickness) : 0.1 mm
Filament Diameter: 1.75 mm
Filament Compatibility  : PLA
-----
Supported File Formats: STL
-----
Machine Dimensions: 310 x 350 x 330 mm
Shipping Location: Italy
Lead Time (Processing/Handling Time): 12 days",https://www.3dprintersonlinestore.com/3d-printers/sharebot-kiwi-3d-desktop-3d-printer

60,MakeMendel | PlusBot 2.0 3D Printer,"$1,149 USD",,"Manufacturer Warranty: 3 months
-----
Print size ( X Y Z ): 220 x 220 x 165 mm
Print Speed: 60 mm/sec
Layer Resolution: 100 microns
Filament Diameter: 1.75mm , 3mm
